program,total_units,code,name
Bachelor of Arts in Animation,33,ANM 1010,History of Film Animation
Bachelor of Arts in Animation,33,ANM 1020,Fundamentals of Animation
Bachelor of Arts in Animation,33,ANM 1030,Introduction to Drawing
Bachelor of Arts in Animation,33,ANM 1040,Character Design
Bachelor of Arts in Animation,33,ANM 1050,Cinema and Television Equipment
Bachelor of Arts in Animation,33,ANM 1060,Illustration and Environment Design
Bachelor of Arts in Animation,33,ANM 1070,The Art of the Storyboard and
Bachelor of Arts in Animation,33,ANM 2010,Fundamentals of Scripting for
Bachelor of Arts in Animation,33,ANM 2020,Introduction to 2D and 3D Animation
Bachelor of Arts in Animation,33,ANM 2040,Acting for Animators
Bachelor of Arts in Animation,33,ANM 2050,Camera Language and
Bachelor of Arts in Animation,33,ANM 2070,Theoretical Perspectives in Film and
Bachelor of Arts in Animation,33,ANM 2080,Composition and Sound Design for
Bachelor of Arts in Animation,33,ANM 2090,Theories of Popular Media and Art
Bachelor of Arts in Animation,33,ANM 3000,Fundamentals of Compositing
Bachelor of Arts in Animation,33,ANM 3010,Storyboarding and the Script
Bachelor of Arts in Animation,33,ANM 3015,Character Rigging
Bachelor of Arts in Animation,33,ANM 3040,Law & Ethics in the Animation
Bachelor of Arts in Animation,33,ANM 3060,The Business of Animation Content
Bachelor of Arts in Animation,33,ANM 4015,Aesthetics of the African Story
Bachelor of Arts in Animation,33,ANM 4050,Advanced Scripting for Animation
Bachelor of Arts in Animation,33,ANM 4060,Senior Project and Portfolio
Bachelor of Arts in Animation,33,ANM 4910,Internship
Bachelor of Arts in Animation,33,ANM 4020,3D Environment and Effects
Bachelor of Arts in Animation,33,ANM 4030,Advanced 3D Animation
Bachelor of Arts in Animation,33,ANM 4035,Advanced 2D Computer Animation
Bachelor of Arts in Animation,33,ANM 4045,3D Modeling & Design Methods
Bachelor of Arts in Animation,33,ANM 4055,Digital Effects for Film and Television
Bachelor of Arts in Animation,33,ANM 4080,Interactive Design
Bachelor of Arts in Animation,33,ANM 4082,Virtual and Augmented Design
Bachelor of Arts in Animation,33,ANM 4085,Gaming Environment Design
Bachelor of Arts in Animation,33,ANM 4090,Artificial Intelligence in Gaming
Bachelor of Arts in Animation,33,ANM 4092,Game Programming
Bachelor of Arts in Criminal Justice Studies,20,CJS 1101,Introduction to Criminal Justice
Bachelor of Arts in Criminal Justice Studies,20,CJS 1103,Juvenile Justice
Bachelor of Arts in Criminal Justice Studies,20,CJS 2201,Criminal Law
Bachelor of Arts in Criminal Justice Studies,20,CJS 2202,Criminal Procedure
Bachelor of Arts in Criminal Justice Studies,20,CJS 2204,Corrections and Punishment
Bachelor of Arts in Criminal Justice Studies,20,CJS 3303,Victimology
Bachelor of Arts in Criminal Justice Studies,20,CJS 3307,Comparative Criminal Justice
Bachelor of Arts in Criminal Justice Studies,20,CJS 4120,Criminal Evidence
Bachelor of Arts in Criminal Justice Studies,20,CJS 3309,Terrorism and International Security
Bachelor of Arts in Criminal Justice Studies,20,CJS 4200,Criminal Justice Ethics
Bachelor of Arts in Criminal Justice Studies,20,CJS 4210,Policing Strategies and Reform
Bachelor of Arts in Criminal Justice Studies,20,CJS 4220,Court Systems and Administration
Bachelor of Arts in Criminal Justice Studies,20,CJS 4230,Corrections Management
Bachelor of Arts in Criminal Justice Studies,20,CJS 4240,Cybercrime and Digital Forensics
Bachelor of Arts in Criminal Justice Studies,20,CJS 4250,Restorative Justice
Bachelor of Arts in Criminal Justice Studies,20,CJS 4260,Crime Analysis and Prevention
Bachelor of Arts in Criminal Justice Studies,20,SOC 3305,Deviant Behavior
Bachelor of Arts in Criminal Justice Studies,20,SOC 3313,Political Sociology
Bachelor of Arts in Criminal Justice Studies,20,PSY 1101,Introduction to Psychology
Bachelor of Arts in Criminal Justice Studies,20,CJS 4910,Criminal Justice Internship
Bachelor of Arts in Film Production & Directing,47,FLA 1005,History of Film & Video
Bachelor of Arts in Film Production & Directing,47,FLA 1010,Fundamentals of Photography &
Bachelor of Arts in Film Production & Directing,47,FLA 1015,Fundamental of Scripting
Bachelor of Arts in Film Production & Directing,47,FLA 1020,Film and Video Production
Bachelor of Arts in Film Production & Directing,47,SND 1005,History &Theory of Sound for Film &
Bachelor of Arts in Film Production & Directing,47,FLA 1030,Fundamentals of Film Editing
Bachelor of Arts in Film Production & Directing,47,FLA 1035,Introduction to Production Design
Bachelor of Arts in Film Production & Directing,47,FLA 1040,Camera Operation Techniques and
Bachelor of Arts in Film Production & Directing,47,CIN  2005,Visual Production Design
Bachelor of Arts in Film Production & Directing,47,FLA 2010,"The Business of Film, Culture and"
Bachelor of Arts in Film Production & Directing,47,FLA 2015,Fundamentals of Film Directing
Bachelor of Arts in Film Production & Directing,47,SND 2010,Sound Physics
Bachelor of Arts in Film Production & Directing,47,FLA 2020,Principles of Writing for Dramatic
Bachelor of Arts in Film Production & Directing,47,FLA 2025,World Approaches to Film
Bachelor of Arts in Film Production & Directing,47,FLA 2030,Entertainment Law & Ethics of Film
Bachelor of Arts in Film Production & Directing,47,FLA 2035,Film Theory and Criticism
Bachelor of Arts in Film Production & Directing,47,SND 3005,Sound Mixing
Bachelor of Arts in Film Production & Directing,47,PRD 3005,The Art of the Pitch
Bachelor of Arts in Film Production & Directing,47,SND 3010,Sound Script Analysis and Project
Bachelor of Arts in Film Production & Directing,47,PRD 4020,Costume and Makeup for Film
Bachelor of Arts in Film Production & Directing,47,PRD 4010,Producing: From Green Light to
Bachelor of Arts in Film Production & Directing,47,PRD 4910,Internship in Film Production
Bachelor of Arts in Film Production & Directing,47,CIN 3005,Advanced Colour Theory and Colour
Bachelor of Arts in Film Production & Directing,47,CIN 3010,Shooting the Master Scene
Bachelor of Arts in Film Production & Directing,47,CIN 3015,Visual Effects and Green Screen
Bachelor of Arts in Film Production & Directing,47,CIN 4005,Studio production
Bachelor of Arts in Film Production & Directing,47,PRD 4005,Screen Acting
Bachelor of Arts in Film Production & Directing,47,SCR 3005,Screen writing: Characters & Genres
Bachelor of Arts in Film Production & Directing,47,SCR 3010,Writing for the Short Film
Bachelor of Arts in Film Production & Directing,47,SCR 3015,Writing for Television Drama
Bachelor of Arts in Film Production & Directing,47,SCR 4005,Feature Film Writing
Bachelor of Arts in Film Production & Directing,47,PRD 4005,Screen Acting Cinematography
Bachelor of Arts in Film Production & Directing,47,CIN 3005,Advanced Colour Theory and Colour
Bachelor of Arts in Film Production & Directing,47,CIN 3010,Shooting the Master Scene
Bachelor of Arts in Film Production & Directing,47,CIN 3015,Visual Effects and Green Screen
Bachelor of Arts in Film Production & Directing,47,CIN 4005,Studio production
Bachelor of Arts in Film Production & Directing,47,PRD 4005,Screen Acting
Bachelor of Arts in Film Production & Directing,47,EDT 3005,Sound and VFX for Film and Video
Bachelor of Arts in Film Production & Directing,47,EDT 3010,Advanced Colour Theory and Colour
Bachelor of Arts in Film Production & Directing,47,EDT 3015,After Effects
Bachelor of Arts in Film Production & Directing,47,EDT 4005,Editing the Narrative
Bachelor of Arts in Film Production & Directing,47,PRD 4005,Screen Acting
Bachelor of Arts in Film Production & Directing,47,DIR 3005,Art Direction and Production Design
Bachelor of Arts in Film Production & Directing,47,DIR 3010,Directing Actors
Bachelor of Arts in Film Production & Directing,47,DIR 3015,Location and Studio Directing
Bachelor of Arts in Film Production & Directing,47,DIR 4005,Directing the Master Scene
Bachelor of Arts in Film Production & Directing,47,PRD 4005,Screen Acting
Bachelor of Arts in International Relations,46,ECO 1010,Principles of Microeconomics
Bachelor of Arts in International Relations,46,ECO 1020,Principles of Macroeconomics
Bachelor of Arts in International Relations,46,IRL 3010,Development Issues in Africa
Bachelor of Arts in International Relations,46,IRL 3045,Politics of Regionalism in Africa
Bachelor of Arts in International Relations,46,IRL 4151,Field Study (WI)
Bachelor of Arts in International Relations,46,IRL 2100,Introduction to Human Rights
Bachelor of Arts in International Relations,46,IRL 2220,Gender and IR
Bachelor of Arts in International Relations,46,IRL 4035,Environmental Politics
Bachelor of Arts in International Relations,46,IRL 4150,Area Studies
Bachelor of Arts in International Relations,46,IRL 4220,Refugee Studies
Bachelor of Arts in International Relations,46,IRL 4811,Critical Issues in Africa
Bachelor of Arts in International Relations,46,IRL 3100,Diplomacy
Bachelor of Arts in International Relations,46,IRL 3110,Simulation Exercise (OI)
Bachelor of Arts in International Relations,46,IRL 3200,Negotiation & Mediation
Bachelor of Arts in International Relations,46,IRL 4120,International Humanitarian Law
Bachelor of Arts in International Relations,46,IRL 4040,Africa � Asia Relations
Bachelor of Arts in International Relations,46,IRL 4055,Africa � Middle East Relations
Bachelor of Arts in International Relations,46,IRL 4050,U.S./Africa Relations
Bachelor of Arts in International Relations,46,IRL 4065,East Africa in World Affairs
Bachelor of Arts in International Relations,46,IRL 4035,Environmental Politics
Bachelor of Arts in International Relations,46,IRL 4151,Field Study (WI)
Bachelor of Arts in International Relations,46,IRL 4800,Critical Issues in Kenyan Foreign
Bachelor of Arts in International Relations,46,IRL 2000,Foundations of International
Bachelor of Arts in International Relations,46,IRL 2005,Comparative Foreign Policy
Bachelor of Arts in International Relations,46,IRL 2010,International Organisations
Bachelor of Arts in International Relations,46,POL 2201,Introduction to Political Science
Bachelor of Arts in International Relations,46,IRL 3015,Introduction to Peace & Conflict
Bachelor of Arts in International Relations,46,IRL 3200,Negotiation & Mediation
Bachelor of Arts in International Relations,46,IRL 4001,Regional Conflicts in Africa
Bachelor of Arts in International Relations,46,IRL 4151,Field Study (WI)
Bachelor of Arts in International Relations,46,IRL 4010,Geopolitics
Bachelor of Arts in International Relations,46,IRL 4045,Security Studies & Strategies
Bachelor of Arts in International Relations,46,IRL 4035,Environmental Politics
Bachelor of Arts in International Relations,46,IRL 4120,International Humanitarian Law
Bachelor of Arts in International Relations,46,IRL 4220,Refugee Studies
Bachelor of Arts in International Relations,46,IRL 4850,Studies in Contemporary
Bachelor of Arts in International Relations,46,IRL 3000,Comparative Political Systems (ILI)
Bachelor of Arts in International Relations,46,IRL 3003,Research Methods in IR (WI)
Bachelor of Arts in International Relations,46,IRL 3005,Contemporary Theories & Ideologies
Bachelor of Arts in International Relations,46,IRL 3021,African Philosophy & Ideologies
Bachelor of Arts in International Relations,46,IRL 3060,African International Relations
Bachelor of Arts in International Relations,46,IRL 4020,International Law (OI)
Bachelor of Arts in International Relations,46,IRL 4030,International Political Economy (ILI)
Bachelor of Arts in International Relations,46,IRL 4075,Mechanism of International
Bachelor of Arts in International Relations,46,IRL 4900,International Relations Project (WI)
Bachelor of Arts in International Relations,46,IRL 4910,International Relations Senior
Bachelor of Arts in Journalism,47,JRN 3020,Development Journalism
Bachelor of Arts in Journalism,47,JRN 4025,Creative Writing
Bachelor of Arts in Journalism,47,JRN 3026,Gender Reporting
Bachelor of Arts in Journalism,47,JRN 4027,Documentary Production
Bachelor of Arts in Journalism,47,JRN 4029,Radio Production II
Bachelor of Arts in Journalism,47,JRN 4030,Television and Video Production II
Bachelor of Arts in Journalism,47,JRN 3016,Public Speaking
Bachelor of Arts in Journalism,47,JRN 4037,Advertising and Creative Strategy
Bachelor of Arts in Journalism,47,JRN 4050,Advertising Planning and Placement
Bachelor of Arts in Journalism,47,JRN 1100,Introduction to Broadcast Media
Bachelor of Arts in Journalism,47,JRN 1106,History and Theory of Public
Bachelor of Arts in Journalism,47,JRN 1109,Introduction to Mass
Bachelor of Arts in Journalism,47,JRN 2004,Public Relations Writing
Bachelor of Arts in Journalism,47,JRN 2103,Fundamentals of Photography
Bachelor of Arts in Journalism,47,JRN 2106,Principles of Broadcasting
Bachelor of Arts in Journalism,47,JRN 2107,Writing for Broadcast Media
Bachelor of Arts in Journalism,47,JRN 2202,Introduction to Print Media
Bachelor of Arts in Journalism,47,JRN 2223,Theories of Mass Communication
Bachelor of Arts in Journalism,47,JRN 3000,News Reporting and Writing
Bachelor of Arts in Journalism,47,JRN 3003,Media Law
Bachelor of Arts in Journalism,47,JRN 3004,Media Ethics
Bachelor of Arts in Journalism,47,JRN 3006,International Mass Media
Bachelor of Arts in Journalism,47,JRN 3015,Media Management
Bachelor of Arts in Journalism,47,JRN 3024,Communication Research
Bachelor of Arts in Journalism,47,JRN 3027,New Media Production
Bachelor of Arts in Journalism,47,JRN 3029,Media Studies
Bachelor of Arts in Journalism,47,JRN 4900,Project OR
Bachelor of Arts in Journalism,47,JRN 4910,Internship OR
Bachelor of Arts in Journalism,47,JRN 4911,Media Tour Experience
Bachelor of Arts in Journalism,47,JRN 3002,Introduction to News Editing
Bachelor of Arts in Journalism,47,JRN 3020,Development Journalism
Bachelor of Arts in Journalism,47,JRN 3301,Feature Writing
Bachelor of Arts in Journalism,47,JRN 3922,Photojournalism
Bachelor of Arts in Journalism,47,JRN 4031,Print Media Production
Bachelor of Arts in Journalism,47,JRN 4401,Editorial Writing
Bachelor of Arts in Journalism,47,JRN 3010,Television & Video Production I
Bachelor of Arts in Journalism,47,JRN 3012,Broadcast Presentation
Bachelor of Arts in Journalism,47,JRN 3013,Broadcast Journalism
Bachelor of Arts in Journalism,47,JRN 3321,Radio Production I
Bachelor of Arts in Journalism,47,JRN 4013,Broadcast Screenwriting
Bachelor of Arts in Journalism,47,JRN 4030,Television and Video Production II
